  QueueTimes | ServiceTimes | SojournTimes

       0.079 |        0.761 |        0.840
       0.107 |        0.549 |        0.656
       0.307 |        0.545 |        0.853
       0.075 |        0.568 |        0.644
       0.393 |        0.623 |        1.016
       0.325 |        0.626 |        0.951
       0.652 |        0.615 |        1.267
       0.310 |        0.572 |        0.881
       0.746 |        0.550 |        1.296
       1.272 |        0.547 |        1.819
       4.251 |        0.598 |        4.849
       0.116 |        0.727 |        0.843
       0.990 |        0.799 |        1.789
       1.513 |        0.723 |        2.236
       0.667 |        0.782 |        1.449
      10.972 |        0.778 |       11.751
      10.645 |        0.712 |       11.357
      10.633 |        0.766 |       11.399
      10.367 |        0.699 |       11.066
      10.261 |        0.747 |       11.007
       2.700 |        0.774 |        3.474
      10.254 |        0.912 |       11.166
       9.807 |        0.752 |       10.559
      12.489 |        0.757 |       13.245
      12.664 |        0.749 |       13.413
       4.195 |        0.760 |        4.955
      14.352 |        0.876 |       15.228
       0.071 |        0.763 |        0.833
       1.410 |        0.744 |        2.153
      12.934 |        0.741 |       13.675
       0.067 |        0.770 |        0.837
       0.819 |        0.794 |        1.613
       0.982 |        0.753 |        1.736
       0.969 |        0.756 |        1.725
       0.633 |        0.767 |        1.399
       0.901 |        0.749 |        1.651
       0.071 |        0.698 |        0.769
       0.070 |        0.758 |        0.828
       0.908 |        3.122 |        4.029
       2.443 |       11.958 |       14.401
       0.067 |        0.766 |        0.833
       6.858 |        3.580 |       10.438
       9.154 |       20.069 |       29.223
      19.993 |        0.738 |       20.731
       1.768 |        0.747 |        2.515
       1.590 |        0.708 |        2.297
       1.190 |        0.758 |        1.948
       0.069 |        0.826 |        0.895
       0.316 |        0.738 |        1.053
       1.072 |        0.712 |        1.785
       2.081 |        0.713 |        2.794
       0.133 |        0.814 |        0.947
       0.318 |        0.520 |        0.838
       0.631 |        0.552 |        1.184
       1.319 |        0.541 |        1.860
       0.857 |        0.516 |        1.372
       0.216 |        0.515 |        0.731
       0.234 |        0.560 |        0.794
       0.593 |        0.568 |        1.161
       0.182 |        0.875 |        1.057
       1.076 |        0.760 |        1.837
       0.575 |        0.694 |        1.268
       0.643 |        0.699 |        1.342
       0.064 |        0.724 |        0.788
       1.085 |        0.755 |        1.840
       0.860 |        0.719 |        1.579
       0.141 |        3.386 |        3.527
       0.117 |        1.026 |        1.143
       1.208 |        1.032 |        2.240
       1.319 |        1.043 |        2.361
       0.104 |        0.784 |        0.888
       0.834 |        0.795 |        1.629
       0.115 |        1.119 |        1.234
       0.123 |        1.118 |        1.241
       0.120 |        1.004 |        1.124
       0.083 |        0.799 |        0.882
       0.157 |        1.898 |        2.055
       0.077 |        0.792 |        0.869
       0.165 |        0.933 |        1.098
       0.177 |        0.978 |        1.155
       0.226 |        0.817 |        1.043
       0.078 |        1.026 |        1.104
       0.069 |        1.103 |        1.171
       1.291 |        1.068 |        2.359
       1.171 |        1.107 |        2.278
       0.904 |        4.904 |        5.809
       0.158 |        1.075 |        1.233
       0.170 |        0.998 |        1.169
       0.117 |        1.073 |        1.190
       0.967 |        1.129 |        2.096
       2.053 |        1.126 |        3.179
       2.770 |        1.051 |        3.821
       0.479 |        1.063 |        1.541
       1.236 |        1.048 |        2.284
       1.776 |        1.120 |        2.896
       1.027 |        1.117 |        2.144
       2.323 |        0.788 |        3.111
      10.677 |        0.761 |       11.438
       1.680 |        0.729 |        2.409
       1.497 |        0.717 |        2.214
       0.162 |        0.729 |        0.891
       0.161 |        1.007 |        1.168
       1.003 |        0.849 |        1.852
       0.074 |        1.036 |        1.110
       0.965 |        2.110 |        3.075
       0.288 |        1.191 |        1.479
       0.082 |        0.815 |        0.897
       0.133 |        1.898 |        2.031
       0.088 |        1.186 |        1.274
       0.120 |        1.231 |        1.351
       0.079 |        1.184 |        1.262
       1.077 |        1.337 |        2.414
       0.151 |        4.314 |        4.464
       0.181 |        0.759 |        0.940
       0.778 |        0.739 |        1.517
       0.604 |        0.733 |        1.337
       0.175 |        0.848 |        1.023
       0.827 |        0.714 |        1.542
       0.778 |        0.711 |        1.489
       1.354 |        0.702 |        2.056
       0.985 |        0.696 |        1.681
       0.621 |        0.771 |        1.392
       0.123 |        1.155 |        1.277
       1.012 |        1.016 |        2.028
       0.117 |        1.075 |        1.192
       0.076 |        1.315 |        1.392
       0.153 |        2.903 |        3.056
       0.074 |        1.490 |        1.564
       0.131 |        2.990 |        3.121
       0.081 |        0.869 |        0.950
       0.155 |        1.002 |        1.157
       0.144 |        0.989 |        1.133
