  QueueTimes | ServiceTimes | SojournTimes

       0.076 |        0.714 |        0.790
       0.106 |        0.550 |        0.656
       0.259 |        0.564 |        0.824
       0.122 |        0.736 |        0.858
       0.596 |        0.595 |        1.191
       0.491 |        0.624 |        1.116
       0.071 |        0.630 |        0.701
       0.544 |        0.609 |        1.152
       1.118 |        0.564 |        1.682
       0.789 |        2.914 |        3.703
       4.610 |        0.595 |        5.205
       0.092 |        0.824 |        0.916
       0.942 |        0.599 |        1.542
       1.253 |        0.585 |        1.838
       0.259 |        0.563 |        0.823
       0.610 |        0.588 |        1.198
       0.821 |        0.543 |        1.364
       0.911 |        0.617 |        1.527
       4.013 |        0.629 |        4.642
       0.542 |        0.582 |        1.124
       3.938 |        0.545 |        4.483
       6.158 |        0.542 |        6.699
       5.357 |        0.589 |        5.946
       4.208 |        0.541 |        4.748
       6.636 |        0.541 |        7.177
       6.524 |        0.559 |        7.083
       5.727 |        0.597 |        6.323
       0.248 |        0.522 |        0.770
       0.345 |        0.587 |        0.933
       2.580 |        0.518 |        3.098
       0.147 |        0.520 |        0.667
       0.168 |        0.843 |        1.011
       0.627 |        0.708 |        1.334
       0.118 |        0.781 |        0.899
       0.208 |        0.707 |        0.915
       1.958 |        0.756 |        2.714
       0.927 |        0.756 |        1.684
       0.583 |        0.751 |        1.333
       4.568 |        0.716 |        5.284
       1.810 |        0.767 |        2.577
       0.400 |        0.693 |        1.094
       2.670 |        0.756 |        3.426
       0.693 |        0.710 |        1.403
       0.113 |        0.572 |        0.685
       0.155 |        0.915 |        1.070
       0.815 |        0.706 |        1.521
       1.245 |        0.759 |        2.004
       0.074 |        0.709 |        0.782
       0.210 |        0.735 |        0.945
       1.237 |        0.706 |        1.942
       1.940 |        0.755 |        2.694
       0.149 |        0.771 |        0.920
       0.293 |        0.760 |        1.053
       0.850 |        0.773 |        1.624
       1.879 |        0.717 |        2.596
       1.598 |        0.703 |        2.301
       1.159 |        0.686 |        1.845
       1.347 |        0.738 |        2.085
       1.886 |        0.743 |        2.629
       0.172 |        0.843 |        1.015
       1.042 |        0.773 |        1.815
       0.067 |        0.683 |        0.750
       0.559 |        1.558 |        2.117
       2.279 |        0.733 |        3.012
       2.265 |        0.702 |        2.967
       1.287 |        0.698 |        1.985
       2.395 |        0.699 |        3.093
       0.152 |        0.755 |        0.907
       0.095 |        0.830 |        0.925
       0.966 |        0.559 |        1.525
       0.192 |        0.751 |        0.943
       0.823 |        0.748 |        1.570
       0.156 |        0.891 |        1.047
       0.164 |        0.749 |        0.913
       0.150 |        0.716 |        0.866
       0.143 |        1.085 |        1.229
       0.073 |        0.870 |        0.943
       0.657 |        1.951 |        2.609
       0.188 |        0.951 |        1.139
       0.140 |        0.890 |        1.031
       0.151 |        0.945 |        1.096
       0.079 |        0.850 |        0.929
       0.690 |        0.794 |        1.484
       0.074 |        0.807 |        0.881
       0.965 |        0.817 |        1.781
       0.562 |        0.818 |        1.380
       0.166 |        0.848 |        1.014
       0.173 |        0.863 |        1.037
       0.171 |        0.890 |        1.061
       0.752 |        0.837 |        1.589
       0.824 |        0.831 |        1.655
       2.452 |        0.823 |        3.275
       0.071 |        0.798 |        0.869
       1.716 |        1.788 |        3.505
       0.066 |        0.784 |        0.851
       0.625 |        1.749 |        2.374
       0.127 |        0.800 |        0.927
       0.156 |        0.963 |        1.119
       0.288 |        0.704 |        0.992
       0.819 |        0.739 |        1.558
       0.166 |        0.890 |        1.057
       0.157 |        1.180 |        1.337
       3.267 |        1.033 |        4.300
       4.523 |        1.003 |        5.527
       1.927 |        1.051 |        2.978
       0.782 |        1.017 |        1.798
       0.173 |        0.899 |        1.071
       0.785 |        0.820 |        1.605
       0.116 |        0.559 |        0.675
       0.150 |        0.860 |        1.009
       0.167 |        0.886 |        1.053
       0.103 |        0.779 |        0.882
       0.587 |        0.793 |        1.380
       0.166 |        0.957 |        1.124
       0.977 |        0.765 |        1.742
       0.852 |        0.749 |        1.601
       0.155 |        0.790 |        0.945
       0.751 |        0.832 |        1.583
       0.845 |        0.859 |        1.704
       1.579 |        0.837 |        2.417
       1.379 |        0.855 |        2.234
       1.193 |        0.906 |        2.099
       0.137 |        0.921 |        1.058
       0.743 |        0.896 |        1.639
       0.153 |        0.826 |        0.979
       0.151 |        0.841 |        0.992
       0.138 |        0.604 |        0.742
       0.169 |        1.095 |        1.264
       0.232 |        1.043 |        1.275
       0.164 |        1.073 |        1.238
       0.194 |        1.068 |        1.262
       0.174 |        1.215 |        1.389
       0.168 |        0.913 |        1.082
       0.566 |        0.805 |        1.371
       0.112 |        0.810 |        0.922
       0.096 |        0.727 |        0.823
       0.176 |        1.011 |        1.186
       0.166 |        1.138 |        1.304
       0.162 |        1.088 |        1.249
       0.162 |        1.057 |        1.220
       1.361 |        0.955 |        2.317
       0.871 |        1.024 |        1.895
       0.732 |        0.899 |        1.631
       3.268 |        0.716 |        3.984
       0.379 |        0.745 |        1.123
       0.178 |        0.797 |        0.974
       0.138 |        0.972 |        1.110
       1.010 |        0.741 |        1.752
       0.154 |        1.062 |        1.215
       0.257 |        1.000 |        1.257
       0.082 |        1.010 |        1.093
       0.166 |        1.027 |        1.193
       0.180 |        1.095 |        1.274
       0.654 |        1.065 |        1.719
       2.250 |        1.140 |        3.390
       1.333 |        1.044 |        2.376
       2.569 |        1.112 |        3.682
       1.371 |        1.034 |        2.405
       2.570 |        1.112 |        3.682
       0.494 |        0.711 |        1.206
       0.182 |        0.840 |        1.021
       0.171 |        0.857 |        1.028
       1.029 |        0.709 |        1.738
       0.094 |        0.994 |        1.088
       0.780 |        0.799 |        1.579
       0.766 |        0.798 |        1.565
       0.138 |        0.894 |        1.032
       0.581 |        0.773 |        1.354
       0.858 |        0.779 |        1.637
       0.177 |        0.952 |        1.130
       0.617 |        0.836 |        1.453
       1.648 |        0.827 |        2.475
       0.168 |        0.970 |        1.137
       0.088 |        0.910 |        0.998
       0.443 |        0.892 |        1.336
       1.883 |        1.028 |        2.911
       2.165 |        1.047 |        3.212
       1.194 |        1.104 |        2.298
       4.504 |        1.114 |        5.618
       0.628 |        1.088 |        1.716
       0.181 |        9.579 |        9.759
       0.170 |        1.217 |        1.387
       0.136 |        0.913 |        1.050
       0.160 |        0.924 |        1.084
       0.246 |        0.731 |        0.976
       1.403 |        0.731 |        2.134
       0.566 |        0.775 |        1.341
       0.138 |        0.604 |        0.743
       0.136 |        0.829 |        0.965
       0.792 |        0.738 |        1.531
       0.136 |        0.864 |        1.000
       0.086 |        0.766 |        0.852
       0.144 |        1.939 |        2.083
       0.079 |        0.801 |        0.879
       0.151 |        0.777 |        0.929
       0.077 |        0.796 |        0.873
       0.159 |        0.853 |        1.012
       0.076 |        0.853 |        0.929
       0.145 |        0.875 |        1.020
       1.036 |        0.761 |        1.798
       1.390 |        0.785 |        2.175
       0.109 |        0.844 |        0.952
       0.137 |        0.853 |        0.990
       0.176 |        0.811 |        0.988
       0.161 |        1.085 |        1.246
       0.268 |        1.049 |        1.318
       0.178 |        1.057 |        1.235
       0.147 |        1.018 |        1.165
       4.236 |        1.052 |        5.288
       5.300 |        1.003 |        6.303
       3.069 |        1.075 |        4.144
       3.210 |        1.066 |        4.277
       1.547 |        0.823 |        2.370
       0.175 |        0.829 |        1.003
       0.184 |        1.098 |        1.281
       0.081 |        1.023 |        1.104
       1.260 |        0.981 |        2.241
       0.174 |        3.610 |        3.784
       0.076 |        0.981 |        1.057
       0.265 |        2.257 |        2.522
       0.181 |        1.044 |        1.225
       0.176 |        0.891 |        1.067
       0.167 |        1.002 |        1.169
       1.357 |        0.713 |        2.070
       2.073 |        0.742 |        2.815
       0.178 |        0.913 |        1.091
       0.164 |        0.938 |        1.101
       1.279 |        0.835 |        2.114
       0.841 |        0.721 |        1.561
       0.209 |        0.748 |        0.957
       0.655 |        0.779 |        1.434
       0.152 |        0.725 |        0.878
       0.155 |        0.866 |        1.021
       0.542 |        0.690 |        1.232
       0.477 |        0.693 |        1.170
       0.601 |        0.678 |        1.279
       1.232 |        0.616 |        1.848
       0.054 |        0.997 |        1.051
       0.895 |        0.794 |        1.689
       2.329 |        0.719 |        3.048
       0.757 |        0.603 |        1.360
       2.845 |        0.684 |        3.529
       0.935 |        0.669 |        1.604
       1.466 |        0.665 |        2.130
       0.176 |        0.838 |        1.014
       0.132 |        0.821 |        0.953
       0.332 |        0.658 |        0.990
       0.163 |        0.839 |        1.002
       1.201 |        1.002 |        2.203
       0.993 |        1.003 |        1.997
       3.537 |        1.047 |        4.584
       0.752 |        1.040 |        1.792
       3.447 |        1.015 |        4.462
       3.172 |        1.066 |        4.238
       4.054 |        1.081 |        5.135
       1.692 |        1.049 |        2.741
       2.655 |        0.995 |        3.650
       0.165 |        0.767 |        0.932
       0.174 |        0.839 |        1.013
       0.072 |        0.770 |        0.842
       0.582 |        1.723 |        2.305
       0.161 |        0.873 |        1.035
       0.145 |        1.041 |        1.186
       0.205 |        0.933 |        1.138
       0.166 |        0.988 |        1.155
       0.873 |        1.018 |        1.891
       2.124 |        0.941 |        3.065
       2.580 |        1.030 |        3.609
       1.304 |        0.946 |        2.250
       0.103 |        0.727 |        0.829
       0.175 |        1.004 |        1.179
       0.162 |        0.879 |        1.041
       1.074 |        1.030 |        2.104
       0.168 |        1.197 |        1.365
       0.985 |        1.093 |        2.078
       0.161 |        1.132 |        1.293
       0.162 |        1.147 |        1.309
       0.107 |        0.761 |        0.869
       0.548 |        0.715 |        1.263
       2.015 |        0.808 |        2.822
       0.313 |        0.746 |        1.059
       0.305 |        0.756 |        1.060
       0.703 |        0.748 |        1.451
       0.916 |        0.711 |        1.628
       2.152 |        0.788 |        2.940
       0.598 |        0.783 |        1.381
       0.180 |        0.962 |        1.142
       0.162 |        0.794 |        0.955
       1.106 |        0.756 |        1.862
       0.062 |        0.915 |        0.977
       1.271 |        0.839 |        2.111
       0.715 |        0.817 |        1.532
       1.575 |        0.754 |        2.329
       0.156 |        0.939 |        1.095
       0.489 |        0.921 |        1.410
       0.170 |        1.016 |        1.186
       0.996 |        0.830 |        1.826
       0.176 |        0.984 |        1.159
       5.182 |        0.902 |        6.084
       6.010 |        0.862 |        6.873
       5.851 |        0.922 |        6.773
       0.097 |        0.796 |        0.894
       4.762 |        0.867 |        5.629
       6.772 |        0.737 |        7.509
       3.454 |        0.779 |        4.233
       6.129 |        0.795 |        6.924
       0.151 |        0.908 |        1.059
       0.155 |        1.010 |        1.165
       0.073 |        0.796 |        0.869
