  QueueTimes | ServiceTimes | SojournTimes

       0.077 |        0.719 |        0.796
       0.093 |        0.578 |        0.671
       0.450 |        0.589 |        1.040
       2.016 |        0.640 |        2.656
       1.800 |        0.589 |        2.389
       0.070 |        0.628 |        0.698
       0.551 |        0.602 |        1.153
       1.145 |        0.604 |        1.749
       3.409 |        0.622 |        4.031
       3.107 |        0.603 |        3.711
       4.388 |        0.600 |        4.988
       0.099 |        0.819 |        0.918
       0.982 |        0.635 |        1.617
       1.444 |        0.584 |        2.028
       1.078 |        0.627 |        1.705
       1.267 |        0.627 |        1.894
       1.690 |        0.551 |        2.241
       1.889 |        0.615 |        2.503
       2.454 |        0.590 |        3.044
       2.840 |        0.550 |        3.390
       3.340 |        0.538 |        3.878
       3.114 |        0.585 |        3.700
       3.086 |        0.554 |        3.641
       3.769 |        0.603 |        4.371
       6.991 |        0.573 |        7.564
       7.745 |        0.552 |        8.297
       9.969 |        0.579 |       10.548
       0.697 |        0.559 |        1.256
       0.616 |        0.552 |        1.167
       2.828 |        0.615 |        3.442
       0.078 |        0.590 |        0.668
       0.110 |        0.837 |        0.947
       0.817 |        0.715 |        1.533
       0.110 |        0.764 |        0.874
       0.745 |        0.773 |        1.518
       0.894 |        0.718 |        1.612
       0.957 |        0.718 |        1.675
       0.585 |        0.760 |        1.345
       4.455 |        0.759 |        5.214
       0.760 |        0.773 |        1.533
       0.499 |        0.748 |        1.247
       3.510 |        0.708 |        4.218
       0.819 |        0.696 |        1.514
       0.141 |        0.808 |        0.948
       0.157 |        0.847 |        1.004
       0.771 |        0.772 |        1.543
       1.047 |        0.745 |        1.793
       0.076 |        0.699 |        0.774
       0.225 |        0.713 |        0.938
       1.010 |        0.771 |        1.781
       1.797 |        0.751 |        2.547
       0.097 |        0.549 |        0.646
       0.072 |        0.559 |        0.631
       0.442 |        0.580 |        1.022
       1.049 |        0.632 |        1.681
       0.694 |        0.605 |        1.299
       0.165 |        0.600 |        0.765
       0.281 |        0.549 |        0.829
       0.630 |        0.581 |        1.211
       0.176 |        0.763 |        0.938
       0.975 |        0.745 |        1.720
       0.069 |        0.738 |        0.807
       0.481 |        1.664 |        2.145
       2.429 |        0.738 |        3.167
       2.318 |        0.762 |        3.080
       2.372 |        0.706 |        3.078
       1.528 |        0.729 |        2.257
       0.149 |        0.787 |        0.937
       0.093 |        0.970 |        1.064
       1.118 |        0.743 |        1.861
       0.156 |        0.773 |        0.928
       0.819 |        0.737 |        1.556
       0.174 |        0.853 |        1.027
       0.156 |        0.715 |        0.872
       0.171 |        0.883 |        1.054
       0.120 |        0.840 |        0.959
       0.397 |        0.771 |        1.168
       0.077 |        0.828 |        0.905
       0.117 |        0.945 |        1.063
       0.121 |        1.000 |        1.121
       0.268 |        0.952 |        1.220
       1.127 |        1.006 |        2.133
       2.259 |        0.934 |        3.193
       2.295 |        1.000 |        3.295
       1.096 |        0.981 |        2.078
       4.461 |        0.943 |        5.404
       0.130 |        0.623 |        0.753
       0.172 |        0.790 |        0.962
       0.113 |        0.838 |        0.951
