  QueueTimes | ServiceTimes | SojournTimes

    5952.659 |       28.507 |     5981.166
       0.565 |        0.487 |        1.051
    5947.835 |       45.313 |     5993.148
       1.686 |        0.471 |        2.157
       2.437 |        0.478 |        2.914
    5955.943 |       26.245 |     5982.189
       3.148 |        0.469 |        3.617
       2.675 |        0.499 |        3.174
    5959.843 |       23.176 |     5983.019
       4.034 |        0.499 |        4.533
       4.583 |        0.485 |        5.068
       5.491 |        0.519 |        6.010
    5968.414 |       15.626 |     5984.041
       6.440 |        0.487 |        6.927
       6.014 |        0.515 |        6.530
       6.575 |        0.479 |        7.054
       6.943 |        0.515 |        7.458
    5973.774 |       12.434 |     5986.208
    6052.031 |        4.938 |     6056.970
      10.870 |        0.501 |       11.371
      11.748 |        0.466 |       12.214
      12.414 |        0.480 |       12.894
      12.590 |        0.474 |       13.064
    5978.764 |        4.943 |     5983.707
      11.838 |        0.489 |       12.327
      12.031 |        0.478 |       12.509
      12.871 |        0.468 |       13.339
      12.659 |        0.480 |       13.138
    5985.619 |        0.466 |     5986.084
      13.901 |        0.512 |       14.414
      14.662 |        0.472 |       15.134
      15.445 |        0.474 |       15.920
    5983.369 |        4.949 |     5988.318
      16.315 |        0.495 |       16.810
      16.849 |        0.467 |       17.316
      17.516 |        0.460 |       17.976
    6024.485 |       38.187 |     6062.672
      18.906 |        0.517 |       19.423
      19.809 |        0.491 |       20.300
      20.477 |        0.489 |       20.966
      20.159 |        0.524 |       20.683
    5987.236 |        0.465 |     5987.701
      21.846 |        0.530 |       22.376
      22.062 |        0.483 |       22.545
      22.898 |        0.534 |       23.432
    5996.314 |        0.475 |     5996.789
      23.777 |        0.532 |       24.309
      24.086 |        0.502 |       24.588
      23.903 |        0.480 |       24.382
    5970.760 |       25.570 |     5996.330
      24.864 |        0.494 |       25.358
      24.821 |        0.465 |       25.286
      24.767 |        0.462 |       25.229
      25.357 |        0.478 |       25.836
    6048.891 |        0.472 |     6049.363
      26.316 |        0.480 |       26.796
      26.768 |        0.462 |       27.231
      27.606 |        0.455 |       28.060
      28.108 |        0.471 |       28.579
    6089.648 |        8.497 |     6098.145
      27.738 |        0.491 |       28.230
      27.720 |        0.511 |       28.231
      28.518 |        0.461 |       28.980
      29.304 |        0.518 |       29.822
      32.003 |        0.527 |       32.529
    6009.181 |       37.738 |     6046.919
      33.514 |        0.528 |       34.042
      34.274 |        0.495 |       34.768
      34.661 |        0.485 |       35.146
      35.014 |        0.502 |       35.516
    6023.416 |       18.713 |     6042.129
      36.502 |        0.532 |       37.033
      36.520 |        0.486 |       37.006
      35.872 |        0.511 |       36.383
      36.919 |        0.543 |       37.462
      37.439 |        0.457 |       37.896
      37.955 |        0.460 |       38.416
      37.187 |        0.466 |       37.653
    6032.436 |        8.011 |     6040.447
      38.002 |        0.493 |       38.494
      38.360 |        0.464 |       38.825
      38.401 |        0.451 |       38.853
      38.918 |        0.463 |       39.380
      67.132 |        7.813 |       74.945
      39.080 |        0.494 |       39.574
      39.897 |        0.457 |       40.354
      40.486 |        0.472 |       40.959
      40.270 |        0.467 |       40.736
    5989.456 |       32.605 |     6022.061
      41.335 |        0.494 |       41.829
      42.159 |        0.475 |       42.635
      42.727 |        0.458 |       43.185
      43.281 |        0.491 |       43.772
    5990.430 |       36.966 |     6027.396
      43.234 |        0.526 |       43.760
      42.985 |        0.482 |       43.467
      42.903 |        0.483 |       43.386
      43.453 |        0.519 |       43.972
    6013.814 |       13.964 |     6027.778
      45.921 |        0.547 |       46.468
    5996.779 |       41.873 |     6038.652
      46.178 |        0.504 |       46.682
      46.499 |        0.487 |       46.986
      45.863 |        0.490 |       46.353
      46.604 |        0.525 |       47.129
    6012.900 |       18.717 |     6031.616
      48.785 |        0.498 |       49.283
      48.635 |        0.470 |       49.105
    6064.446 |        0.465 |     6064.910
      48.843 |        0.498 |       49.342
      49.130 |        0.460 |       49.590
      49.977 |        0.471 |       50.448
      50.471 |        0.470 |       50.941
      94.596 |        4.492 |       99.089
      51.497 |        0.472 |       51.969
      51.802 |        0.469 |       52.271
      51.430 |        0.467 |       51.897
      51.193 |        0.477 |       51.670
      50.094 |        0.459 |       50.553
      50.648 |        0.460 |       51.108
      51.137 |        0.451 |       51.588
      51.690 |        0.481 |       52.171
    6105.954 |       41.010 |     6146.964
      52.362 |        0.522 |       52.884
      53.223 |        0.490 |       53.712
      53.654 |        0.487 |       54.140
      54.560 |        0.519 |       55.079
    6169.855 |        0.469 |     6170.323
      57.249 |        0.558 |       57.806
      98.328 |        8.654 |      106.981
      57.961 |        0.524 |       58.485
      58.012 |        0.502 |       58.513
      58.059 |        0.492 |       58.550
      58.937 |        0.476 |       59.413
     105.498 |        4.956 |      110.455
      59.808 |        0.466 |       60.274
      60.427 |        0.458 |       60.885
      59.809 |        0.462 |       60.271
      60.511 |        0.464 |       60.975
    6056.608 |       20.970 |     6077.579
      61.031 |        0.489 |       61.520
      61.759 |        0.463 |       62.222
      62.618 |        0.462 |       63.080
      61.438 |        0.470 |       61.908
     116.099 |        0.489 |      116.588
      61.679 |        0.478 |       62.157
      62.462 |        0.471 |       62.933
      63.246 |        0.456 |       63.703
      63.953 |        0.490 |       64.442
      64.714 |        0.497 |       65.211
      64.834 |        0.478 |       65.312
      65.028 |        0.484 |       65.511
      65.425 |        0.512 |       65.937
     109.156 |       13.012 |      122.168
      67.617 |        0.528 |       68.145
      68.506 |        0.512 |       69.018
