  QueueTimes | ServiceTimes | SojournTimes

    5378.155 |       91.661 |     5469.816
       0.382 |        0.487 |        0.869
       0.950 |        0.452 |        1.402
    5380.106 |      100.183 |     5480.290
       1.765 |        0.472 |        2.237
       2.335 |        0.443 |        2.777
       1.800 |        0.452 |        2.252
       2.271 |        0.437 |        2.708
    5391.276 |       60.970 |     5452.246
       3.984 |        0.479 |        4.462
       4.846 |        0.458 |        5.303
       5.654 |        0.444 |        6.098
    5397.593 |       53.224 |     5450.817
       5.116 |        0.467 |        5.583
       5.607 |        0.444 |        6.051
       5.908 |        0.442 |        6.350
       6.132 |        0.452 |        6.584
    5403.146 |       45.754 |     5448.900
       7.501 |        0.478 |        7.979
       8.341 |        0.443 |        8.784
       8.971 |        0.453 |        9.424
    5408.934 |       38.010 |     5446.944
       9.729 |        0.471 |       10.201
       8.573 |        0.453 |        9.026
       8.712 |        0.441 |        9.153
       9.507 |        0.437 |        9.945
    5407.887 |       50.277 |     5458.164
       9.596 |        0.460 |       10.056
      10.127 |        0.451 |       10.577
      10.802 |        0.446 |       11.248
      11.541 |        0.440 |       11.981
    5414.689 |       42.523 |     5457.212
      11.846 |        0.468 |       12.314
      12.861 |        0.443 |       13.304
      13.499 |        0.446 |       13.945
      13.992 |        0.437 |       14.429
    5426.782 |       27.302 |     5454.084
      15.195 |        0.487 |       15.681
      15.828 |        0.446 |       16.274
      15.435 |        0.441 |       15.875
      15.950 |        0.438 |       16.387
    5430.407 |       23.816 |     5454.223
      17.260 |        0.478 |       17.738
      18.059 |        0.459 |       18.518
      18.320 |        0.434 |       18.754
    5434.571 |       16.078 |     5450.649
      18.544 |        0.469 |       19.013
      18.311 |        0.446 |       18.757
      18.961 |        0.439 |       19.400
      19.426 |        0.451 |       19.877
    5441.465 |       12.330 |     5453.796
      19.039 |        0.469 |       19.508
      19.633 |        0.446 |       20.079
      20.150 |        0.443 |       20.593
      20.880 |        0.440 |       21.320
    5428.253 |       71.397 |     5499.650
      21.923 |        0.469 |       22.392
      22.443 |        0.441 |       22.884
      22.580 |        0.445 |       23.025
      22.315 |        0.446 |       22.761
    5459.545 |        0.546 |     5460.091
      22.742 |        0.458 |       23.199
      23.526 |        0.444 |       23.970
      24.196 |        0.446 |       24.642
      24.763 |        0.438 |       25.201
    5421.413 |       40.522 |     5461.935
      25.484 |        0.472 |       25.956
      26.163 |        0.440 |       26.602
      26.460 |        0.438 |       26.898
      26.711 |        0.444 |       27.155
    5424.877 |       36.923 |     5461.800
      27.877 |        0.480 |       28.357
      27.820 |        0.438 |       28.258
      27.089 |        0.438 |       27.526
      27.835 |        0.439 |       28.274
    5428.378 |       33.257 |     5461.635
      28.625 |        0.468 |       29.093
      29.154 |        0.441 |       29.595
      28.359 |        0.441 |       28.800
      29.076 |        0.444 |       29.520
    5432.875 |       29.572 |     5462.447
      29.528 |        0.463 |       29.992
      29.573 |        0.439 |       30.012
      30.075 |        0.448 |       30.523
      30.796 |        0.437 |       31.232
    5438.315 |       25.865 |     5464.180
      31.043 |        0.468 |       31.511
      31.645 |        0.439 |       32.084
      31.387 |        0.441 |       31.828
      32.130 |        0.438 |       32.567
    5442.487 |       22.138 |     5464.625
      33.306 |        0.463 |       33.769
      33.862 |        0.443 |       34.304
      34.388 |        0.438 |       34.827
      33.871 |        0.436 |       34.307
    5449.130 |       18.404 |     5467.534
      34.035 |        0.465 |       34.501
      33.908 |        0.438 |       34.346
      34.378 |        0.448 |       34.825
      34.359 |        0.433 |       34.792
    5458.682 |       87.915 |     5546.597
      35.039 |        0.469 |       35.507
      35.033 |        0.446 |       35.478
      35.259 |        0.437 |       35.696
      34.538 |        0.468 |       35.006
    5463.161 |       84.448 |     5547.609
      35.507 |        0.459 |       35.966
      36.096 |        0.460 |       36.555
      35.896 |        0.438 |       36.334
      36.067 |        0.436 |       36.503
      36.174 |        0.459 |       36.633
      37.016 |        0.438 |       37.454
      37.472 |        0.452 |       37.924
      38.296 |        0.448 |       38.743
      38.886 |        0.480 |       39.366
      38.515 |        0.436 |       38.951
      38.231 |        0.441 |       38.672
      38.981 |        0.436 |       39.417
    5482.283 |       64.699 |     5546.982
      37.967 |        0.464 |       38.431
      38.466 |        0.441 |       38.908
      39.006 |        0.440 |       39.446
      39.017 |        0.434 |       39.452
    5470.232 |       16.484 |     5486.717
      40.296 |        0.474 |       40.770
      40.688 |        0.436 |       41.124
      41.509 |        0.448 |       41.956
      41.693 |        0.439 |       42.132
    5475.940 |       12.736 |     5488.675
      42.334 |        0.474 |       42.808
      42.300 |        0.436 |       42.736
      42.239 |        0.442 |       42.681
      43.024 |        0.437 |       43.461
    5476.093 |       20.857 |     5496.951
      43.870 |        0.478 |       44.349
      44.501 |        0.437 |       44.938
      43.848 |        0.435 |       44.284
      44.511 |        0.439 |       44.950
    5499.633 |       57.494 |     5557.128
      45.064 |        0.463 |       45.527
      45.757 |        0.446 |       46.203
      46.584 |        0.439 |       47.023
      45.365 |        0.437 |       45.802
     107.921 |        7.070 |      114.991
      45.735 |        0.461 |       46.197
      46.493 |        0.445 |       46.938
      47.237 |        0.441 |       47.679
      47.915 |        0.435 |       48.350
     113.680 |        4.315 |      117.995
    5516.359 |       30.786 |     5547.145
      48.887 |        0.474 |       49.361
      48.963 |        0.457 |       49.420
      49.107 |        0.441 |       49.548
      49.433 |        0.436 |       49.869
      50.152 |        0.444 |       50.596
      50.927 |        0.444 |       51.371
      51.383 |        0.442 |       51.825
      51.766 |        0.442 |       52.208
      52.545 |        0.452 |       52.997
      52.406 |        0.435 |       52.841
      52.819 |        0.435 |       53.254
      53.449 |        0.442 |       53.891
     116.079 |        9.428 |      125.507
    5525.360 |       35.039 |     5560.399
      54.280 |        0.480 |       54.760
      54.876 |        0.454 |       55.330
      55.486 |        0.452 |       55.937
      56.027 |        0.435 |       56.461
    5534.556 |       19.560 |     5554.115
      57.134 |        0.463 |       57.597
      57.850 |        0.447 |       58.298
      58.119 |        0.442 |       58.561
      58.324 |        0.448 |       58.771
      56.890 |        0.450 |       57.340
      57.427 |        0.443 |       57.870
      57.714 |        0.443 |       58.157
      58.077 |        0.442 |       58.519
     123.065 |        8.369 |      131.434
      59.318 |        0.468 |       59.786
      59.813 |        0.452 |       60.265
      60.644 |        0.436 |       61.080
      60.949 |        0.460 |       61.409
     133.856 |        0.627 |      134.483
      59.452 |        0.525 |       59.978
      59.458 |        0.444 |       59.902
      59.984 |        0.440 |       60.424
      60.800 |        0.438 |       61.238
     128.570 |       12.866 |      141.437
      61.267 |        0.471 |       61.739
      61.437 |        0.441 |       61.878
      61.668 |        0.438 |       62.106
      61.791 |        0.437 |       62.228
     140.628 |        0.440 |      141.068
      63.625 |        0.461 |       64.086
      63.303 |        0.440 |       63.743
      63.442 |        0.435 |       63.877
      64.274 |        0.467 |       64.740
      27.016 |      124.473 |      151.489
      73.372 |        0.499 |       73.871
      74.136 |        0.468 |       74.604
      74.498 |        0.453 |       74.950
      67.906 |       24.829 |       92.736
      75.225 |        0.527 |       75.753
      75.941 |        0.473 |       76.414
      76.613 |        0.453 |       77.067
      77.396 |        0.447 |       77.844
      64.797 |       37.169 |      101.966
      77.986 |        0.474 |       78.460
      78.790 |        0.459 |       79.250
      79.458 |        0.444 |       79.902
      79.960 |        0.447 |       80.407
      56.336 |       65.491 |      121.827
      80.929 |        0.460 |       81.389
      80.907 |        0.458 |       81.365
      81.318 |        0.447 |       81.765
      81.948 |        0.446 |       82.394
      58.780 |       73.688 |      132.468
      81.264 |        0.477 |       81.740
      82.145 |        0.460 |       82.605
      82.654 |        0.441 |       83.095
      82.809 |        0.441 |       83.251
      45.553 |      121.992 |      167.544
      83.791 |        0.465 |       84.256
      84.572 |        0.453 |       85.026
      84.937 |        0.445 |       85.382
      85.700 |        0.447 |       86.147
      58.319 |      102.295 |      160.614
      84.691 |        0.473 |       85.165
      85.410 |        0.438 |       85.848
      85.957 |        0.440 |       86.397
      85.641 |        0.443 |       86.084
      55.824 |      114.592 |      170.415
      86.091 |        0.465 |       86.557
      86.408 |        0.446 |       86.854
      87.124 |        0.438 |       87.563
      87.553 |        0.438 |       87.990
      77.039 |       62.892 |      139.930
      88.648 |        0.462 |       89.110
      88.925 |        0.442 |       89.367
      88.850 |        0.442 |       89.291
      87.865 |        0.450 |       88.315
      75.627 |       87.167 |      162.795
      88.575 |        0.473 |       89.048
      89.300 |        0.440 |       89.740
      89.394 |        0.444 |       89.838
      89.532 |        0.437 |       89.969
      72.071 |      107.436 |      179.506
      90.412 |        0.465 |       90.877
      91.147 |        0.438 |       91.585
      91.442 |        0.439 |       91.881
      92.036 |        0.446 |       92.482
      81.218 |       91.717 |      172.934
      93.306 |        0.462 |       93.769
      94.077 |        0.438 |       94.515
      94.358 |        0.442 |       94.800
      93.695 |        0.445 |       94.140
      73.501 |      119.995 |      193.496
      94.693 |        0.444 |       95.137
      94.892 |        0.448 |       95.340
      95.696 |        0.441 |       96.138
      96.157 |        0.441 |       96.598
      86.408 |       96.269 |      182.677
      95.731 |        0.466 |       96.197
      96.392 |        0.447 |       96.840
      96.546 |        0.437 |       96.983
      97.274 |        0.437 |       97.711
     105.007 |       48.541 |      153.548
      97.207 |        0.468 |       97.676
      98.005 |        0.438 |       98.443
      98.741 |        0.440 |       99.181
      99.510 |        0.440 |       99.950
      98.296 |       84.801 |      183.097
     100.567 |        0.466 |      101.033
     100.997 |        0.446 |      101.444
     101.119 |        0.438 |      101.558
     101.341 |        0.444 |      101.785
      92.121 |      113.058 |      205.179
     101.238 |        0.471 |      101.709
     101.823 |        0.452 |      102.275
     102.529 |        0.437 |      102.966
     103.079 |        0.458 |      103.537
     100.303 |      101.351 |      201.654
     104.280 |        0.462 |      104.742
     104.764 |        0.449 |      105.213
     104.603 |        0.445 |      105.048
     104.814 |        0.439 |      105.254
     109.789 |       81.615 |      191.405
