  QueueTimes | ServiceTimes | SojournTimes

   12942.832 |       96.161 |    13038.993
   12994.344 |       59.637 |    13053.982
   12923.266 |       56.489 |    12979.755
   12852.892 |       41.838 |    12894.730
   12952.842 |       62.697 |    13015.539
   12968.380 |       37.813 |    13006.193
   12959.367 |       54.320 |    13013.687
      29.805 |        1.414 |       31.219
   12940.703 |       29.813 |    12970.516
   12977.299 |       43.850 |    13021.149
   12941.477 |       36.764 |    12978.240
      26.502 |       11.895 |       38.397
   12854.189 |       26.588 |    12880.777
      21.634 |        3.598 |       25.232
   12943.715 |       49.542 |    12993.257
   12935.470 |       47.657 |    12983.127
   12856.447 |       41.721 |    12898.168
   12928.512 |       57.457 |    12985.969
   12923.867 |       50.596 |    12974.462
   12981.705 |       33.280 |    13014.985
       0.066 |        3.305 |        3.371
   12929.177 |       54.066 |    12983.242
   12850.004 |       44.100 |    12894.104
      16.465 |       35.829 |       52.294
       0.063 |        5.133 |        5.196
       9.322 |        3.685 |       13.007
   12973.426 |       63.384 |    13036.810
   12879.464 |       83.911 |    12963.375
   12941.935 |       52.872 |    12994.808
      11.073 |        7.513 |       18.586
       0.353 |        1.546 |        1.899
       1.105 |       16.242 |       17.347
       1.268 |       18.456 |       19.724
       0.076 |        4.097 |        4.174
       0.089 |        4.170 |        4.258
       0.095 |        2.866 |        2.961
       0.074 |        3.426 |        3.500
       0.069 |        3.217 |        3.286
       1.464 |        7.522 |        8.986
       0.082 |       13.220 |       13.302
       0.073 |        3.254 |        3.327
       0.073 |        3.455 |        3.528
       0.113 |        3.561 |        3.674
       0.723 |        4.729 |        5.452
       0.088 |       13.160 |       13.248
       0.099 |        3.769 |        3.867
       0.082 |        4.128 |        4.210
       0.061 |        3.315 |        3.376
       0.063 |        3.300 |        3.363
       0.072 |        9.158 |        9.230
       0.101 |        3.442 |        3.543
       0.619 |        5.484 |        6.104
       0.066 |        4.493 |        4.559
       0.292 |        3.847 |        4.140
       0.061 |        6.356 |        6.417
       0.077 |        1.663 |        1.740
       0.773 |        9.335 |       10.108
       0.076 |       24.824 |       24.900
       0.103 |        4.404 |        4.507
       0.079 |        5.004 |        5.082
       0.760 |        5.993 |        6.753
       0.072 |        5.350 |        5.423
       0.067 |        5.703 |        5.770
       0.087 |        3.963 |        4.050
       0.098 |        3.385 |        3.483
       0.093 |        4.028 |        4.121
       0.107 |        3.509 |        3.616
