  QueueTimes | ServiceTimes | SojournTimes

    6169.298 |        6.953 |     6176.251
    6172.419 |       10.127 |     6182.546
    6246.779 |       45.119 |     6291.898
    6163.627 |       19.511 |     6183.138
    6178.824 |       58.922 |     6237.745
    6252.871 |       24.752 |     6277.623
    6192.454 |       74.311 |     6266.766
    6054.049 |       39.758 |     6093.808
       0.065 |        1.374 |        1.438
    6042.027 |       42.947 |     6084.975
    6109.636 |       30.792 |     6140.427
    6186.457 |       72.095 |     6258.552
    6271.419 |       46.683 |     6318.103
    6174.932 |       41.213 |     6216.145
    6184.893 |       71.176 |     6256.069
    6171.203 |       43.660 |     6214.864
    6196.587 |       50.412 |     6246.999
      16.497 |        7.945 |       24.442
       0.104 |       11.905 |       12.008
    6052.180 |       45.315 |     6097.495
    6099.705 |       25.998 |     6125.703
    6181.679 |       76.904 |     6258.583
    6159.750 |       73.189 |     6232.938
    6044.851 |       48.821 |     6093.673
    6168.150 |       89.768 |     6257.917
       3.758 |       35.772 |       39.530
    6040.356 |       42.804 |     6083.160
    6091.527 |       51.174 |     6142.702
    6059.064 |       25.458 |     6084.522
       0.075 |        2.791 |        2.866
       0.562 |        1.464 |        2.026
       0.070 |        4.214 |        4.284
       1.314 |        2.873 |        4.187
       0.350 |        6.864 |        7.215
       1.405 |        7.406 |        8.811
       0.116 |        3.105 |        3.221
       0.105 |        4.354 |        4.459
       0.118 |        3.668 |        3.786
       0.070 |        4.940 |        5.010
       0.077 |        7.783 |        7.860
       0.063 |        3.010 |        3.073
       0.078 |        7.756 |        7.835
       0.632 |       12.294 |       12.927
       0.070 |        3.742 |        3.812
       0.069 |        2.496 |        2.565
       0.098 |        3.859 |        3.956
       0.136 |        3.982 |        4.118
       1.188 |        4.621 |        5.810
       0.151 |        4.014 |        4.165
       0.088 |        2.797 |        2.885
       0.163 |        4.180 |        4.343
       0.061 |        4.044 |        4.105
       0.066 |        8.247 |        8.313
       0.148 |        5.869 |        6.017
       1.179 |        9.110 |       10.289
       0.170 |        2.017 |        2.187
       0.069 |        9.175 |        9.244
       0.095 |        5.330 |        5.426
       1.924 |        6.791 |        8.716
       1.740 |        7.959 |        9.699
       0.688 |        3.524 |        4.212
       0.177 |        4.389 |        4.566
       0.806 |        2.865 |        3.672
       0.478 |        5.655 |        6.133
       0.106 |        4.274 |        4.380
       0.655 |        4.597 |        5.253
       0.118 |        8.819 |        8.938
       0.072 |        2.731 |        2.803
       0.103 |        5.656 |        5.759
       0.069 |        3.749 |        3.819
       0.102 |       13.579 |       13.681
       0.070 |        6.956 |        7.026
       0.076 |        3.127 |        3.203
       0.101 |        7.369 |        7.469
       0.077 |        4.042 |        4.119
       0.063 |        2.678 |        2.741
       0.096 |        5.644 |        5.739
       1.028 |        2.954 |        3.982
       0.065 |        3.495 |        3.560
       0.100 |       13.755 |       13.854
       0.149 |        2.054 |        2.203
       0.119 |        4.028 |        4.147
       0.074 |        4.087 |        4.161
       4.528 |       11.130 |       15.658
       0.843 |       11.590 |       12.433
       0.068 |        5.022 |        5.090
       0.498 |       12.599 |       13.097
       0.149 |        4.854 |        5.003
       0.070 |        3.288 |        3.358
       0.067 |        3.236 |        3.303
       0.110 |        3.239 |        3.349
       0.143 |       13.313 |       13.455
       1.636 |       10.955 |       12.591
       0.630 |       10.547 |       11.176
       0.103 |        5.737 |        5.840
       0.169 |        5.507 |        5.676
       0.071 |        4.946 |        5.016
       0.255 |       12.407 |       12.661
       0.074 |        3.046 |        3.120
       0.101 |        3.412 |        3.513
       0.092 |        5.069 |        5.161
       0.078 |        5.682 |        5.760
       0.087 |        3.100 |        3.187
       0.076 |        5.319 |        5.395
       0.101 |        5.683 |        5.784
       0.069 |        4.475 |        4.544
       0.257 |        3.746 |        4.003
       0.087 |        3.525 |        3.612
       1.902 |        8.016 |        9.919
       0.718 |        2.566 |        3.284
       0.105 |        3.825 |        3.930
       0.072 |        4.484 |        4.556
       0.323 |        9.595 |        9.918
       0.076 |        3.659 |        3.735
       0.473 |       11.220 |       11.693
       0.065 |        2.731 |        2.797
       0.181 |        7.062 |        7.243
       0.078 |        7.520 |        7.598
       0.179 |        9.442 |        9.621
       0.150 |        5.149 |        5.299
       0.100 |        7.436 |        7.536
       0.149 |        7.811 |        7.959
       0.651 |        4.499 |        5.150
       0.151 |        4.794 |        4.945
